[0.139s] Invoking command in '/home/ubuntu/ros2_rviz_urbot/build/mycobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/ubuntu/ros2_rviz_urbot/build/mycobot_description -- -j16 -l16
[0.359s] Invoked command in '/home/ubuntu/ros2_rviz_urbot/build/mycobot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/ubuntu/ros2_rviz_urbot/build/mycobot_description -- -j16 -l16
[0.414s] Invoking command in '/home/ubuntu/ros2_rviz_urbot/build/mycobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/ubuntu/ros2_rviz_urbot/build/mycobot_description
[0.481s] -- Install configuration: ""
[0.481s] -- Execute custom install script
[0.481s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/launch/robot_state_publisher.launch.py
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/adaptive_gripper/visual/gripper_base.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/adaptive_gripper/visual/gripper_left1.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/adaptive_gripper/visual/gripper_left2.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/adaptive_gripper/visual/gripper_left3.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/adaptive_gripper/visual/gripper_right1.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/adaptive_gripper/visual/gripper_right2.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/adaptive_gripper/visual/gripper_right3.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/g_shape_base_v2_0/visual/base_link.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link1.dae
[0.482s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link1.png
[0.484s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link2.dae
[0.484s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link2.png
[0.484s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link3.dae
[0.492s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link3.png
[0.492s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link4.dae
[0.493s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link4.png
[0.493s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link5.dae
[0.493s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link5.png
[0.493s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link6.dae
[0.493s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link6.png
[0.493s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link7.dae
[0.494s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/link7.png
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/meshes/mycobot_280/visual/suit_env.dae
